OpCode,SiteName,Waypoint,Lattitude,Longitude,MapDatum,MapMethod,Date,TimeIn,BruvType,UNIQUE_ID,UTMzone,Easting,Northing,FieldLead,FieldTeam,MonType,Bottom Temp
ARCO01_1512,Aldinga Reef Central Out 01,595,-35.309134,138.425168,WGS84,GPS,42348,0.46875,Stereo,152,54,265903,6089633,Dmiller,BST,Core,20
ARCO02_1512,Aldinga Reef Central Out 02,594,-35.310597,138.425011,WGS84,GPS,42348,0.473611111111111,Stereo,152,54,265893,6089470,Dmiller,BST,Core,20
ARCO03_1512,Aldinga Reef Central Out 03,596,-35.311793,138.424192,WGS84,GPS,42348,0.477083333333333,Stereo,152,54,265822,6089336,Dmiller,BST,Core,20
ARCO04_1512,Aldinga Reef Central Out 04,597,-35.313552,138.423606,WGS84,GPS,42348,0.48125,Stereo,152,54,265774,6089139,Dmiller,BST,Core,20
ARNI01_1512,Aldinga Reef North In 01,588,-35.262566,138.444427999999,WGS84,GPS,42348,0.5625,Stereo,66,54,267521,6094844,Dmiller,BST,Core,19.3
ARNI02_1512,Aldinga Reef North In 02,587,-35.2629439999999,138.441638,WGS84,GPS,42348,0.555555555555556,Stereo,66,54,267269,6094796,Dmiller,BST,Core,19.3
ARNI03_1512,Aldinga Reef North In 03,586,-35.2640129999999,138.439978,WGS84,GPS,42348,0.572916666666667,Stereo,66,54,267121,6094673,Dmiller,BST,Core,19.3
ARNI04_1512,Aldinga Reef North In 04,585,-35.2650149999999,138.437802,WGS84,GPS,42348,0.577083333333333,Stereo,66,54,266925,6094557,Dmiller,BST,Core,19.3
ARNO01_1512,Aldinga Reef North Out 01,5,-35.2882579999999,138.425743,WGS84,GPS,42348,0.395833333333333,Stereo,152,54,265895,6091950,Dmiller,BST,Core,20.6
ARNO02_1512,Aldinga Reef North Out 02,6,-35.290101,138.425875999999,WGS84,GPS,42348,0.402777777777778,Stereo,152,54,265913,6091746,Dmiller,BST,Core,20.6
ARNO03_1512,Aldinga Reef North Out 03,7,-35.291901,138.426227,WGS84,GPS,42348,0.411111111111111,Stereo,152,54,265950,6091547,Dmiller,BST,Core,20.6
ARNO04_1512,Aldinga Reef North Out 04,8,-35.2937239999999,138.426425999999,WGS84,GPS,42348,0.416666666666667,Stereo,152,54,265973,6091345,Dmiller,BST,Core,20.6
ARSI01_1512,Aldinga Reef South In 01,1,-35.275255,138.429645999999,WGS84,GPS,42348,0.411805555555556,Stereo,66,54,266213,6093402,Dmiller,BST,Core,20
ARSI02_1512,Aldinga Reef South In 02,2,-35.277158,138.429701999999,WGS84,GPS,42348,0.407638888888889,Stereo,66,54,266223,6093191,Dmiller,BST,Core,20
ARSI03_1512,Aldinga Reef South In 03,3,-35.2790889999999,138.428674,WGS84,GPS,42348,0.400694444444444,Stereo,66,54,266135,6092974,Dmiller,BST,Core,20
ARSI04_1512,Aldinga Reef South In 04,4,-35.2808909999999,138.428043,WGS84,GPS,42348,0.395138888888889,Stereo,66,54,266083,6092773,Dmiller,BST,Core,20
ARCI01_1512,Aldinga Reef Central In 01,593,-35.267403,138.431681,WGS84,GPS,42348,0.488888888888889,Stereo,66,54,266375,6094278,Dmiller,BST,Core,19.6999999999999
ARCI02_1512,Aldinga Reef Central In 02,592,-35.26867,138.431031999999,WGS84,GPS,42348,0.484027777777778,Stereo,66,54,266320,6094136,Dmiller,BST,Core,19.6999999999999
ARCI03_1512,Aldinga Reef Central In 03,590,-35.270124,138.429506,WGS84,GPS,42348,0.478472222222222,Stereo,66,54,266185,6093971,Dmiller,BST,Core,19.6999999999999
ARCI04_1512,Aldinga Reef Central In 04,589,-35.272385,138.428794,WGS84,GPS,42348,0.472222222222222,Stereo,66,54,266127,6093718,Dmiller,BST,Core,19.6999999999999
ARSO02_1512,Aldinga Reef South Out 02,10,-35.334763,138.424308999999,WGS84,GPS,42348,0.545138888888889,Stereo,152,54,265899,6086788,Dmiller,BST,Core,19.8999999999999
ARSO03_1512,Aldinga Reef South Out 03,11,-35.33677,138.424504,WGS84,GPS,42348,0.549305555555556,Stereo,152,54,265922,6086565,Dmiller,BST,Core,19.8999999999999
ARSO04_1512,Aldinga Reef South Out 04,12,-35.338647,138.424757,WGS84,GPS,42348,0.552777777777778,Stereo,152,54,265951,6086358,Dmiller,BST,Core,19.8999999999999
CHHO01_1511,Chinaman's Hat Haystack Is Out 01,541,-35.3231474384665,136.909566605463,WGS84,GPS,17/11/2015,1:52:17 PM,Stereo,144,53,673574,6089447,DColella,BST,Core,17.8
CHHO02_1511,Chinaman's Hat Haystack Is Out 02,540,-35.3204473759979,136.909229652956,WGS84,GPS,17/11/2015,1:46:31 PM,Stereo,144,53,673549,6089747,DColella,BST,Core,17.8
CHHO03_1511,Chinaman's Hat Haystack Is Out 03,539,-35.318560777232,136.906820023432,WGS84,GPS,17/11/2015,1:35:42 PM,Stereo,144,53,673334,6089961,DColella,BST,Core,17.8
CHHO04_1511,Chinaman's Hat Haystack Is Out 04,538,-35.3195234388113,136.90414099954,WGS84,GPS,17/11/2015,1:30:54 PM,Stereo,144,53,673089,6089859,DColella,BST,Core,17.8
CHNI01_1511,Chinaman's Hat North In 01,531,-35.3018251340836,136.947224652394,WGS84,GPS,17/11/2015,11:33:56 AM,Stereo,55,53,677044,6091746,DColella,BST,Core,18.3
CHNI02_1511,Chinaman's Hat North In 02,532,-35.3033387381583,136.944376984611,WGS84,GPS,17/11/2015,11:40:33 AM,Stereo,55,53,676782,6091583,DColella,BST,Core,18.3
CHNI03_1511,Chinaman's Hat North In 03,533,-35.3048323094844,136.94196106866,WGS84,GPS,17/11/2015,11:49:43 AM,Stereo,55,53,676559,6091422,DColella,BST,Core,18.3
CHNI04_1511,Chinaman's Hat North In 04,534,-35.3066781722009,136.939213816076,WGS84,GPS,17/11/2015,11:56:10 AM,Stereo,55,53,676305,6091222,DColella,BST,Core,18.3
CHNO01_1511,Chinaman's Hat North Out 01,507,-35.3060217853635,136.884413184598,WGS84,GPS,16/11/2015,11:23:38 AM,Stereo,144,53,671324,6091391,DColella,BST,Core,17.4
CHNO02_1511,Chinaman's Hat North Out 02,508,-35.304564172402,136.887505184859,WGS84,GPS,16/11/2015,11:39:39 AM,Stereo,144,53,671608,6091547,DColella,BST,Core,17.4
CHNO03_1511,Chinaman's Hat North Out 03,509,-35.3039201907813,136.89000156708,WGS84,GPS,16/11/2015,11:48:17 AM,Stereo,144,53,671836,6091614,DColella,BST,Core,17.4
CHNO04_1511,Chinaman's Hat North Out 04,510,-35.3030822519212,136.892363252118,WGS84,GPS,16/11/2015,11:57:48 AM,Stereo,144,53,672053,6091703,DColella,BST,Core,17.4
CHSI01_1511,Chinaman's Hat South In 01,515,-35.3295773640275,136.931410180404,WGS84,GPS,16/11/2015,2:26:05 PM,Stereo,55,53,675546,6088696,DColella,BST,Core,17.2
CHSI02_1511,Chinaman's Hat South In 02,512,-35.3295141644775,136.92890449427,WGS84,GPS,16/11/2015,1:35:51 PM,Stereo,55,53,675318,6088707,DColella,BST,Core,17.2
CHSI03_1511,Chinaman's Hat South In 03,513,-35.3293995000422,136.926387576386,WGS84,GPS,16/11/2015,1:43:11 PM,Stereo,55,53,675090,6088724,DColella,BST,Core,17.2
CHSI04_1511,Chinaman's Hat South In 04,514,-35.3283449728041,136.923514008522,WGS84,GPS,16/11/2015,1:49:53 PM,Stereo,55,53,674831,6088846,DColella,BST,Core,17.2
CHSO01_1511,Chinaman's Hat South Out 01,529,-35.3401287551969,136.890467181801,WGS84,GPS,17/11/2015,1/01/1900 9:32:07 AM,Stereo,144,53,671802,6087597,DColella,BST,Core,17.9
CHSO02_1511,Chinaman's Hat South Out 02,528,-35.341720059514,136.888959612697,WGS84,GPS,17/11/2015,1/01/1900 9:23:14 AM,Stereo,144,53,671661,6087423,DColella,BST,Core,17.9
CHSO03_1511,Chinaman's Hat South Out 03,527,-35.3427740000188,136.886803954839,WGS84,GPS,17/11/2015,1/01/1900 9:14:19 AM,Stereo,144,53,671463,6087310,DColella,BST,Core,17.9
CHSO04_1511,Chinaman's Hat South Out 04,526,-35.3449468407779,136.887399991974,WGS84,GPS,17/11/2015,1/01/1900 9:06:16 AM,Stereo,144,53,671513,6087068,DColella,BST,Core,17.9
CSEI01_1511,Chinaman's Hat Seal Is In 01,502,-35.3406897559762,136.921922368928,WGS84,GPS,15/11/2015,1/01/1900 9:26:44 AM,Stereo,55,53,674660,6087480,DColella,BST,Core,17.5
CSEI02_1511,Chinaman's Hat Seal Is In 02,503,-35.3395202290266,136.922930963337,WGS84,GPS,15/11/2015,1/01/1900 9:35:39 AM,Stereo,55,53,674754,6087608,DColella,BST,Core,17.5
CSEI03_1511,Chinaman's Hat Seal Is In 03,504,-35.3371359128504,136.919429004192,WGS84,GPS,15/11/2015,1/01/1900 9:44:59 AM,Stereo,55,53,674441,6087878,DColella,BST,Core,17.5
CSEI04_1511,Chinaman's Hat Seal Is In 04,505,-35.3378812316805,136.914760284125,WGS84,GPS,15/11/2015,1/01/1900 9:48:42 AM,Stereo,55,53,674015,6087804,DColella,BST,Core,17.5
PINI01_1604,Pages Islands North Inside 01,679,-35.7276045251637,138.312397459521,WGS84,GPS,19/04/2016,9:33:15 AM,Stereo,74,54,256914,6042933,Sholland,BST,Core,17.2
PINI02_1604,Pages Islands North Inside 02,680,-35.7300191000103,138.312365356832,WGS84,GPS,19/04/2016,9:40:08 AM,Stereo,74,54,256918,6042665,Sholland,BST,Core,17.2
PINI03_1604,Pages Islands North Inside 03,681,-35.7324777636677,138.3129637409,WGS84,GPS,19/04/2016,9:48:55 AM,Stereo,74,54,256980,6042394,Sholland,BST,Core,17.2
PINI04_1604,Pages Islands North Inside 04,682,-35.7350560370832,138.312753774225,WGS84,GPS,19/04/2016,9:55:30 AM,Stereo,74,54,256969,6042107,Sholland,BST,Core,17.2
PIEI01_1604,Pages Islands East Inside 01,684,-35.7575315237045,138.304571025073,WGS84,GPS,19/04/2016,11:30:58 AM,Stereo,74,54,256297,6039593,Sholland,BST,Core,17.2
PIEI02_1604,Pages Islands East Inside 02,685,-35.7588774058967,138.30650338903,WGS84,GPS,19/04/2016,11:37:47 AM,Stereo,74,54,256476,6039449,Sholland,BST,Core,17.2
PIEI03_1604,Pages Islands East Inside 03,686,-35.7606935966759,138.305623959749,WGS84,GPS,19/04/2016,11:47:56 AM,Stereo,74,54,256402,6039245,Sholland,BST,Core,17.2
PIEI04_1604,Pages Islands East Inside 04,688,-35.7615717686712,138.303099581971,WGS84,GPS,19/04/2016,11:53:57 AM,Stereo,74,54,256176,6039141,Sholland,BST,Core,17.3
PIWI01_1604,Pages Islands West Inside 01,690,-35.7612479757517,138.298090724274,WGS84,GPS,19/04/2016,1:23:32 PM,Stereo,74,54,255723,6039165,Sholland,BST,Core,17.4
PIWI02_1604,Pages Islands West Inside 02,691,-35.7596430089324,138.297353368252,WGS84,GPS,19/04/2016,1:29:10 PM,Stereo,74,54,255651,6039341,Sholland,BST,Core,17.2
PIWI03_1604,Pages Islands West Inside 03,692,-35.758069306612,138.296884233132,WGS84,GPS,19/04/2016,1:33:22 PM,Stereo,74,54,255604,6039514,Sholland,BST,Core,17.2
PIWI04_1604,Pages Islands West Inside 04,693,-35.7570214010775,138.29816121608,WGS84,GPS,19/04/2016,1:38:35 PM,Stereo,74,54,255716,6039634,Sholland,BST,Core,17.2
PINO01_1604,Pages Islands North Outside 01,694,-35.7092255260795,138.310727365314,WGS84,GPS,20/04/2016,1/01/1900 9:23:17 AM,Stereo,153,54,256707,6044968,Sholland,BST,Core,17.2
PINO02_1604,Pages Islands North Outside 02,695,-35.7120684161782,138.3133151941,WGS84,GPS,20/04/2016,9:30:04 AM,Stereo,153,54,256950,6044659,Sholland,BST,Core,17.2
PINO03_1604,Pages Islands North Outside 03,696,-35.7146232202649,138.31134578213,WGS84,GPS,20/04/2016,9:36:42 AM,Stereo,153,54,256779,6044371,Sholland,BST,Core,17.2
PINO04_1604,Pages Islands North Outside 04,697,-35.7134151365607,138.307779449969,WGS84,GPS,20/04/2016,9:41:31 AM,Stereo,153,54,256453,6044496,Sholland,BST,Core,17.2
PIWO01_1604,Pages Islands West Outside 01,699,-35.7740213256329,138.291654512286,WGS84,GPS,20/04/2016,11:28:18 AM,Stereo,153,54,255180,6037731,Sholland,BST,Core,17.2
PIWO02_1604,Pages Islands West Outside 02,700,-35.7748042792081,138.289596838876,WGS84,GPS,20/04/2016,11:32:49 AM,Stereo,153,54,254996,6037639,Sholland,BST,Core,17.2
PIWO03_1604,Pages Islands West Outside 03,701,-35.7764228247106,138.288532420992,WGS84,GPS,20/04/2016,11:37:28 AM,Stereo,153,54,254905,6037457,Sholland,BST,Core,17.2
PIWO04_1604,Pages Islands West Outside 04,702,-35.7786590326577,138.288747081533,WGS84,GPS,20/04/2016,11:41:07 AM,Stereo,153,54,254931,6037210,Sholland,BST,Core,17.2
PIEO01_1604,Pages Islands East Outside 01,703,-35.7823593914508,138.292429838329,WGS84,GPS,20/04/2016,1:21:19 PM,Stereo,153,54,255275,6036808,Sholland,BST,Core,17.3
PIEO02_1604,Pages Islands East Outside 02,704,-35.7805024646222,138.291925247758,WGS84,GPS,20/04/2016,1:25:42 PM,Stereo,153,54,255224,6037013,Sholland,BST,Core,17.3
PIEO03_1604,Pages Islands East Outside 03,705,-35.7789922133088,138.293177084997,WGS84,GPS,20/04/2016,1:31:40 PM,Stereo,153,54,255333,6037184,Sholland,BST,Core,17.2
PIEO04_1604,Pages Islands East Outside 04,706,-35.7773935329169,138.294811556115,WGS84,GPS,20/04/2016,1:36:25 PM,Stereo,153,54,255475,6037365,Sholland,BST,Core,17.3
SGCI01_1601,Sponge Gardens Central In 01,657,-35.7413315679878,138.036280721426,WGS84,GPS,21/01/2016,11:38:43 AM,Stereo,73,54,231979,6040690,SHolland,BST,Core,19.2
SGCI03_1601,Sponge Gardens Central In 03,655,-35.7412987109273,138.043100908398,WGS84,GPS,21/01/2016,11:22:23 AM,Stereo,73,54,232596,6040712,SHolland,BST,Core,19.1
SGCI04_1601,Sponge Gardens Central In 04,654,-35.7417514175176,138.045249106362,WGS84,GPS,21/01/2016,11:14:46 AM,Stereo,73,54,232792,6040668,SHolland,BST,Core,19.1
SGCO01_1601,Sponge Gardens Central Out 01,641,-35.7208353001624,137.960136076435,WGS84,GPS,20/01/2016,11:28:37 AM,Stereo,201,53,767765,6042974,SHolland,BST,Core,19.6
SGCO02_1601,Sponge Gardens Central Out 02,640,-35.7201227545738,137.962363315746,WGS84,GPS,20/01/2016,11:21:23 AM,Stereo,201,53,767969,6043047,SHolland,BST,Core,19.5
SGCO03_1601,Sponge Gardens Central Out 03,639,-35.7193213608115,137.965244008228,WGS84,GPS,20/01/2016,11:12:34 AM,Stereo,201,53,768233,6043128,SHolland,BST,Core,19.4
SGCO04_1601,Sponge Gardens Central Out 04,638,-35.7193478476256,137.969198422506,WGS84,GPS,20/01/2016,11:03:44 AM,Stereo,201,53,768590,6043114,SHolland,BST,Core,19.4
SGEI01_1601,Sponge Gardens East In 01,651,-35.7528670784085,138.060054229572,WGS84,GPS,21/01/2016,1/01/1900 9:42:51 AM,Stereo,73,54,234168,6039475,SHolland,BST,Core,19
SGEI02_1601,Sponge Gardens East In 02,650,-35.7550316210836,138.06247475557,WGS84,GPS,21/01/2016,1/01/1900 9:31:35 AM,Stereo,73,54,234394,6039241,SHolland,BST,Core,19
SGEI04_1601,Sponge Gardens East In 04,648,-35.7584614120423,138.066477617248,WGS84,GPS,21/01/2016,1/01/1900 9:14:47 AM,Stereo,73,54,234768,6038871,SHolland,BST,Core,19
SGEO01_1601,Sponge Gardens East Out 01,634,-35.7260790187865,137.995577948167,WGS84,GPS,20/01/2016,1/01/1900 9:02:03 AM,Stereo,153,53,770954,6042295,SHolland,BST,Core,18.9
SGEO02_1601,Sponge Gardens East Out 02,635,-35.7257729955017,137.998229898512,WGS84,GPS,20/01/2016,1/01/1900 9:11:43 AM,Stereo,153,53,771195,6042321,SHolland,BST,Core,19
SGEO03_1601,Sponge Gardens East Out 03,636,-35.7256610970944,138.002192527055,WGS84,GPS,20/01/2016,1/01/1900 9:20:47 AM,Stereo,153,54,228842,6042335,SHolland,BST,Core,19
SGEO04_1601,Sponge Gardens East Out 04,637,-35.7260960340499,138.004917986691,WGS84,GPS,20/01/2016,1/01/1900 9:27:44 AM,Stereo,153,54,229090,6042294,SHolland,BST,Core,19
SGWI01_1601,Sponge Gardens West In 01,661,-35.7288585416972,138.012196915224,WGS84,GPS,21/01/2016,1:30:22 PM,Stereo,73,54,229758,6042008,SHolland,BST,Core,19.3
SGWI02_1601,Sponge Gardens West In 02,660,-35.7307157199829,138.015982098877,WGS84,GPS,21/01/2016,1:23:32 PM,Stereo,73,54,230107,6041812,SHolland,BST,Core,19.2
SGWI03_1601,Sponge Gardens West In 03,659,-35.7329538557678,138.020087471231,WGS84,GPS,21/01/2016,1:15:25 PM,Stereo,73,54,230486,6041575,SHolland,BST,Core,19.3
SGWI04_1601,Sponge Gardens West In 04,658,-35.7350702024996,138.021837109699,WGS84,GPS,21/01/2016,1:07:26 PM,Stereo,73,54,230652,6041345,SHolland,BST,Core,19.4
SGWO01_1601,Sponge Gardens West Out 01,643,-35.7156482432037,137.933999877423,WGS84,GPS,20/01/2016,12:54:08 PM,Stereo,201,53,765418,6043620,SHolland,BST,Core,19.9
SGWO02_1601,Sponge Gardens West Out 02,644,-35.715884109959,137.936130976304,WGS84,GPS,20/01/2016,12:58:55 PM,Stereo,201,53,765610,6043588,SHolland,BST,Core,20
SGWO03_1601,Sponge Gardens West Out 03,646,-35.715841948986,137.937979688867,WGS84,GPS,20/01/2016,1:04:50 PM,Stereo,201,53,765777,6043588,SHolland,BST,Core,19.8
SGWO04_1601,Sponge Gardens West Out 04,647,-35.7160201482474,137.940277587622,WGS84,GPS,20/01/2016,1:12:45 PM,Stereo,201,53,765985,6043562,SHolland,BST,Core,19.8
CCNI01_1503,Cape du Couedic A,84,-36.06024,136.72002,GDA94,GPS,27/03/2015,9:27:00 AM,Stereo,77,53,654911,6008001,DColella,BST,Core,NA
CCNI03_1503,Cape du Couedic A,86,-36.05718,136.72335,GDA94,GPS,27/03/2015,9:30:00 AM,Stereo,77,53,655216,6008335,DColella,BST,Core,NA
CCNI04_1503,Cape du Couedic A,101,-36.0555,136.7251,GDA94,GPS,27/03/2015,9:31:00 AM,Stereo,77,53,655377,6008519,DColella,BST,Core,NA
CCEI01_1503,Cape du Couedic B,100,-36.0866,136.7573,GDA94,GPS,27/03/2015,10:04:00 AM,Stereo,77,53,658216,6005017,DColella,BST,Core,NA
CCEI02_1503,Cape du Couedic B,87,-36.08449,136.75765,GDA94,GPS,27/03/2015,10:06:00 AM,Stereo,77,53,658251,6005250,DColella,BST,Core,NA
CCEI03_1503,Cape du Couedic B,88,-36.08253,136.75726,GDA94,GPS,27/03/2015,10:07:00 AM,Stereo,77,53,658220,6005468,DColella,BST,Core,NA
CCCI01_1503,Cape du Couedic C,90,-36.07785,136.74165,GDA94,GPS,27/03/2015,1:26:00 PM,Stereo,77,53,656824,6006013,DColella,BST,Core,NA
CCCI04_1503,Cape du Couedic C,93,-36.07792,136.72516,GDA94,GPS,27/03/2015,1:37:00 PM,Stereo,77,53,655339,6006032,DColella,BST,Core,NA
CCSI01_1503,Cape du Couedic D,94,-36.08212,136.71523,GDA94,GPS,27/03/2015,1:50:00 PM,Stereo,77,53,654436,6005582,DColella,BST,Core,NA
CCSI02_1503,Cape du Couedic D,95,-36.08264,136.71852,GDA94,GPS,27/03/2015,1:52:00 PM,Stereo,77,53,654732,6005519,DColella,BST,Core,NA
CCSI03_1503,Cape du Couedic D,96,-36.0829,136.72183,GDA94,GPS,27/03/2015,1:55:00 PM,Stereo,77,53,655029,6005484,DColella,BST,Core,NA
CCSI04_1503,Cape du Couedic D,97,-36.0833,136.72541,GDA94,GPS,27/03/2015,1:57:00 PM,Stereo,77,53,655351,6005434,DColella,BST,Core,NA
