SPECIES,CAAB,Database Species,Simons list - Species name,Common name,Fished,Targeted,Site attached
Siphonognathus attenuatus,37385004,Siphonognathus attenuatus,NA,Slender Weed-whiting,NA,NA,NA
Siphonognathus beddomei,37385006,Siphonognathus beddomei,NA,Pencil Weed-whiting,NA,NA,NA
Heteroscarus acroptilus,37385010,Heteroscarus acroptilus,NA,Rainbow Cale,NA,NA,NA
Acanthaluteres brownii,37465001,Acanthaluteres brownii,Acanthaluteres brownii,Spinytail leatherjacket,1,0,0
Acanthaluteres vittiger,37465002,Acanthaluteres vittiger,NA,Toothbrush leatherjacket,NA,NA,NA
Meuschenia hippocrepis,37465004,Meuschenia hippocrepis,Meuschenia hippocrepis,Horseshoe leatherjacket,1,0,0
Meuschenia scaber,37465005,Meuschenia scaber,NA,Smooth Leatherjacket,NA,NA,NA
Scobinichthys granulatus,37465007,Scobinichthys granulatus,Scobinichthys granulatus,Rough leatherjacket,1,0,0
Meuschenia flavolineata,37465035,Meuschenia flavolineata,NA,Yellowstriped Leatherjacket,NA,NA,NA
Meuschenia freycineti,37465036,Meuschenia freycineti,NA,Six-spined Leatherjacket,NA,NA,NA
Meuschenia galii,37465040,Meuschenia galii,NA,Bluelined Leatherjacket,NA,NA,NA
Acanthaluteres spilomelanurus,37465043,Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,Bridled leatherjacket,1,0,0
Meuschenia venusta,37465060,Meuschenia venusta,NA,Stars and Stripes Leatherjacket,NA,NA,NA
Aracana ornata,37466001,Aracana ornata,NA,Ornate Cowfish,NA,NA,NA
Omegophora armilla,37467002,Omegophora armilla,NA,Ringed Toadfish,1,0,0
Omegophora cyanopunctata,37467048,Omegophora cyanopunctata,NA,Bluespotted Pufferfish,NA,NA,NA
Caesioperca rasor,37311003,Caesioperca rasor,NA,Barber Perch,NA,NA,NA
Notolabrus parilus,37384022,Notolabrus parilus,NA,Brownspotted Wrasse,1,0,0
Sillaginodes punctatus,37330001,Sillaginodes punctatus,NA,King George whiting,1,1,1
Eubalichthys gunnii,37465034,Eubalichthys gunnii,NA,Gunn's Leatherjacket,NA,NA,NA
Neosebastes scorpaenoides,37287005,Neosebastes scorpaenoides,NA,Common Gurnard Perch,1,0,0
Eubalichthys mosaicus,37465003,Eubalichthys mosaicus,NA,Mosaic Leatherjacket,NA,NA,NA
Thamnaconus degeni,37465037,Thamnaconus degeni,Thamnaconus degeni,Degen's leatherjacket,1,0,0
Siphamia cephalotes,37327032,Siphamia cephalotes,Siphamia cephalotes,Wood's siphonfish,0,0,0
Dotalabrus aurantiacus,37384018,Dotalabrus aurantiacus,NA,Castelnau's Wrasse,NA,NA,NA
Parapercis haackei,37390004,Parapercis haackei,Parapercis haackei,Wavy grubfish,0,0,0
Paraplesiops meleagris,37316009,Paraplesiops meleagris,Paraplesiops meleagris,Southern blue devil,1,0,2
Trachinops noarlungae,37316017,Trachinops noarlungae,Trachinops noarlungae,Noarlunga Hulafish,0,0,1
Brachaluteres jacksonianus,37465025,Brachaluteres jacksonianus,NA,Southern Pygmy Leatherjacket,NA,NA,NA
Eubalichthys cyanoura,37465055,Eubalichthys cyanoura,NA,Bluetail Leatherjacket,NA,NA,NA
Diodon nicthemerus,37469001,Diodon nicthemerus,NA,Globefish,NA,NA,NA
Aplodactylus arctidens,37376001,Aplodactylus arctidens,NA,Marblefish,NA,NA,NA
Pentaceropsis recurvirostris,37367003,Pentaceropsis recurvirostris,Pentaceropsis recurvirostris,Longsnout boarfish,1,0,0
Hypoplectrodes nigroruber,37311037,Hypoplectrodes nigroruber,NA,Banded Seaperch,1,0,0
Helcogramma decurrens,37415015,Helcogramma decurrens,NA,Black-throated Triplefin,NA,NA,NA
Pelates octolineatus,37321020,Pelates octolineatus,Pelates octolineatus,Striped trumpeter,1,0,0
Torquigener pleurogramma,37467030,Torquigener pleurogramma,Torquigener pleurogramma,Toadfish,1,0,0
Haletta semifasciata,37385009,Haletta semifasciata,NA,Blue Weed Whiting,1,0,0
Scorpis georgiana,37361015,Scorpis georgiana,NA,Banded Sweep,NA,NA,NA
Vincentia conspersa,37327033,Vincentia conspersa,NA,Southern Cardinalfish,NA,NA,NA
Tursiops truncatus,41116019,Tursiops truncatus,NA,Common Bottlenosed Dolphin,NA,NA,NA
Neoodax balteatus,37385005,Neoodax balteatus,Neoodax balteatus,Weedy whiting,0,0,0
Siphonognathus caninis,37385011,Siphonognathus caninis,NA,Sharpnose Weed-whiting,NA,NA,NA
Siphonognathus tanyourus,37385012,Siphonognathus tanyourus,NA,Long-tailed Weed-whiting,NA,NA,NA
Anoplocapros amygdaloides,37466015,Anoplocapros amygdaloides,NA,Western Smooth Boxfish,NA,NA,NA
Pagrus auratus,37353001,Pagrus auratus,NA,Snapper,1,1,1
Aracana aurita,37466003,Aracana aurita,NA,Shaw's Cowfish,NA,NA,NA
Bodianus frenchii,37384057,Bodianus frenchii,NA,Foxfish,NA,NA,NA
Sepia apama,23607001,Sepia apama,NA,Giant Cuttlefish,1,1,1
Sepioteuthis australis,23617005,Sepioteuthis australis,NA,Southern Calamary,1,1,1
Heterodontus portusjacksoni,37007001,Heterodontus portusjacksoni,Heterodontus portusjacksoni,Port Jackson shark,1,0,0
Parascyllium variolatum,37013004,Parascyllium variolatum,NA,Varied Carpetshark,NA,NA,NA
Centroberyx gerrardi,37258004,Centroberyx gerrardi,Centroberyx gerrardi,Bight redfish,1,1,1
Centroberyx lineatus,37258005,Centroberyx lineatus,Centroberyx lineatus,Swallowtail,1,1,1
Platycephalus speculator,37296037,Platycephalus speculator,NA,Southern Bluespotted Flathead,1,1,0
Othos dentex,37311005,Othos dentex,Othos dentex,Harlequin fish,1,0,2
Dinolestes lewini,37327002,Dinolestes lewini,NA,Yellowfin Pike,NA,NA,NA
Trachurus novaezelandiae,37337003,Trachurus novaezelandiae,NA,Yellowtail Scad,NA,NA,NA
Pseudocaranx wrighti,37337063,Pseudocaranx wrighti,Pseudocaranx wrighti,Skipjack trevally,1,0,0
Arripis georgianus,37344001,Arripis georgianus,Arripis georgianus,Australian herring,1,1,0
Arripis truttaceus,37344004,Arripis truttaceus,Arripis truttaceus,Western Australian salmon,1,1,0
Parequula melbournensis,37349001,Parequula melbournensis,Parequula melbournensis,Southern silverbelly,1,0,0
Upeneichthys vlamingii,37355029,Upeneichthys vlamingii,Upeneichthys vlamingii,Red mullet,1,0,0
Pempheris multiradiata,37357001,Pempheris multiradiata,Pempheris multiradiata,Common bullseye,0,0,1
Pempheris klunzingeri,37357003,Pempheris klunzingeri,NA,Rough Bullseye,NA,NA,NA
Kyphosus sydneyanus,37361001,Kyphosus sydneyanus,Kyphosus sydneyanus,Silver drummer,1,0,1
Neatypus obliquus,37361002,Neatypus obliquus,NA,Footballer Sweep,NA,NA,NA
Scorpis aequipinnis,37361004,Scorpis aequipinnis,Scorpis aequipinnis,Sea sweep,1,1,1
Girella zebra,37361008,Girella zebra,Girella zebra,Zebrafish,1,0,0
Chelmonops curiosus,37365066,Chelmonops curiosus,NA,Western Talma,NA,NA,NA
Enoplosus armatus,37366001,Enoplosus armatus,NA,Old Wife,NA,NA,NA
Parma victoriae,37372006,Parma victoriae,NA,Victorian Scalyfin,NA,NA,NA
Cheilodactylus nigripes,37377001,Cheilodactylus nigripes,Cheilodactylus nigripes,Magpie perch,1,0,0
Nemadactylus valenciennesi,37377004,Nemadactylus valenciennesi,Nemadactylus valenciennesi,Blue morwong,1,1,0
Dactylophora nigricans,37377005,Dactylophora nigricans,Dactylophora nigricans,Dusky morwong,1,0,0
Sphyraena novaehollandiae,37382002,Sphyraena novaehollandiae,Sphyraena novaehollandiae,Snook,1,1,0
Achoerodus gouldii,37384002,Achoerodus gouldii,Achoerodus gouldii,Western blue groper,1,1,2
Notolabrus tetricus,37384003,Notolabrus tetricus,Notolabrus tetricus,Bluethroat wrasse,1,1,2
Pictilabrus laticlavius,37384020,Pictilabrus laticlavius,NA,Senator Wrasse,NA,NA,NA
Austrolabrus maculatus,37384025,Austrolabrus maculatus,NA,Black-Spotted Wrasse,NA,NA,NA
Eupetrichthys angustipes,37384105,Eupetrichthys angustipes,NA,Snakeskin Wrasse,NA,NA,NA
Olisthops cyanomelas,37385001,Olisthops cyanomelas,NA,Herring Cale,NA,NA,NA
