Family,Genus,Species,SpeciesName
NA,Fish,sp,Fish sp
NA,Fish,unk,Fish unk
Aplodactylidae,Aplodactylus,arctidens,Aplodactylus arctidens
Apogonidae,Siphamia,cephalotes,Siphamia cephalotes
Apogonidae,Vincentia,conspersa,Vincentia conspersa
Arripidae,Arripis,georgianus,Arripis georgianus
Arripidae,Arripis,truttaceus,Arripis truttaceus
Atherinidae,NA,sp, sp
Aulopidae,Latropiscis,purpurissatus,Latropiscis purpurissatus
Berycidae,Centroberyx,gerrardi,Centroberyx gerrardi
Berycidae,Centroberyx,lineatus,Centroberyx lineatus
Carangidae,Pseudocaranx,sp,Pseudocaranx sp
Carangidae,Pseudocaranx,wrighti,Pseudocaranx wrighti
Carangidae,Seriola,hippos,Seriola hippos
Carangidae,Seriola,lalandi,Seriola lalandi
Carangidae,Trachurus,novaezelandiae,Trachurus novaezelandiae
Chaetodontidae,Chelmonops,curiosus,Chelmonops curiosus
Cheilodactylidae,Cheilodactylus,nigripes,Cheilodactylus nigripes
Cheilodactylidae,Dactylophora,nigricans,Dactylophora nigricans
Cheilodactylidae,Nemadactylus,valenciennesi,Nemadactylus valenciennesi
Chironemidae,Chironemus,maculosus,Chironemus maculosus
Dasyatidae,Dasyatis,brevicaudata,Dasyatis brevicaudata
Delphinidae,Tursiops,truncatus,Tursiops truncatus
Dinolestidae,Dinolestes,lewini,Dinolestes lewini
Diodontidae,Diodon,nichthemerus,Diodon nichthemerus
Diodontidae,Diodon,nicthemerus,Diodon nicthemerus
Enoplosidae,Enoplosus,armatus,Enoplosus armatus
Gastropteridae,Sagaminopteron,ornatum,Sagaminopteron ornatum
Gempylidae,Thyrsites,atun,Thyrsites atun
Gerreidae,Parequula,melbournensis,Parequula melbournensis
Gobiesocidae,GOBIESOCIDAE,sp,GOBIESOCIDAE sp
Gobiesocidae,Parvicrepis,sp,Parvicrepis sp
Hemiramphidae,Hyporhamphus,melanochir,Hyporhamphus melanochir
Heterodontidae,Heterodontus,portusjacksoni,Heterodontus portusjacksoni
Kyphosidae,Girella,zebra,Girella zebra
Kyphosidae,Kyphosus,sydneyanus,Kyphosus sydneyanus
Labridae,Achoerodus,gouldii,Achoerodus gouldii
Labridae,Austrolabrus,maculatus,Austrolabrus maculatus
Labridae,Bodianus,frenchii,Bodianus frenchii
Labridae,Dotalabrus,aurantiacus,Dotalabrus aurantiacus
Labridae,Eupetrichthys,angustipes,Eupetrichthys angustipes
Labridae,LABRIDAE,sp,LABRIDAE sp
Labridae,Notolabrus,parilus,Notolabrus parilus
Labridae,Notolabrus,tetricus,Notolabrus tetricus
Labridae,Ophthalmolepis,lineolatus,Ophthalmolepis lineolatus
Labridae,Pictilabrus,laticlavius,Pictilabrus laticlavius
Labridae,Pseudolabrus,rubicundus,Pseudolabrus rubicundus
Lamnidae,Carcharodon,carcharias,Carcharodon carcharias
Loliginidae,Sepioteuthis,australis,Sepioteuthis australis
Majidae,Leptomithrax,gaimardii,Leptomithrax gaimardii
Majidae,MAJIDAE,sp,MAJIDAE sp
Monacanthidae,NA,sp, sp
Monacanthidae,Acanthaluteres,brownii,Acanthaluteres brownii
Monacanthidae,Acanthaluteres,sp,Acanthaluteres sp
Monacanthidae,Acanthaluteres,spilomelanurus,Acanthaluteres spilomelanurus
Monacanthidae,Acanthaluteres,vittiger,Acanthaluteres vittiger
Monacanthidae,Brachaluteres,jacksonianus,Brachaluteres jacksonianus
Monacanthidae,Eubalichthys,cyanoura,Eubalichthys cyanoura
Monacanthidae,Eubalichthys,gunnii,Eubalichthys gunnii
Monacanthidae,Eubalichthys,mosaicus,Eubalichthys mosaicus
Monacanthidae,Meuschenia,australis,Meuschenia australis
Monacanthidae,Meuschenia,flavolineata,Meuschenia flavolineata
Monacanthidae,Meuschenia,freycineti,Meuschenia freycineti
Monacanthidae,Meuschenia,galii,Meuschenia galii
Monacanthidae,Meuschenia,hippocrepis,Meuschenia hippocrepis
Monacanthidae,Meuschenia,scaber,Meuschenia scaber
Monacanthidae,Meuschenia,sp,Meuschenia sp
Monacanthidae,Meuschenia,venusta,Meuschenia venusta
Monacanthidae,MONACANTHIDAE,sp,MONACANTHIDAE sp
Monacanthidae,Scobinichthys,granulatus,Scobinichthys granulatus
Monacanthidae,Thamnaconus,degeni,Thamnaconus degeni
Moridae,Lotella,rhacina,Lotella rhacina
Moridae,Pseudophycis,barbata,Pseudophycis barbata
Mullidae,Upeneichthys,vlamingii,Upeneichthys vlamingii
Muraenidae,Gymnothorax,prasinus,Gymnothorax prasinus
Myliobatidae,Myliobatis,tenuicaudatus,Myliobatis tenuicaudatus
Neosebastidae,Neosebastes,bougainvillii,Neosebastes bougainvillii
Neosebastidae,Neosebastes,pandus,Neosebastes pandus
Neosebastidae,Neosebastes,scorpaenoides,Neosebastes scorpaenoides
Neosebastidae,NEOSEBASTIDAE,sp,NEOSEBASTIDAE sp
Nil,Nil,Nil,Nil Nil
Notocheiridae,Iso,rhothophilus,Iso rhothophilus
Octopodidae,NA,sp, sp
Odacidae,Haletta,semifasciata,Haletta semifasciata
Odacidae,Heteroscarus,acroptilus,Heteroscarus acroptilus
Odacidae,Neoodax,balteatus,Neoodax balteatus
Odacidae,Olisthops,cyanomelas,Olisthops cyanomelas
Odacidae,Siphonognathus,attenuatus,Siphonognathus attenuatus
Odacidae,Siphonognathus,beddomei,Siphonognathus beddomei
Odacidae,Siphonognathus,caninis,Siphonognathus caninis
Odacidae,Siphonognathus,sp,Siphonognathus sp
Odacidae,Siphonognathus,tanyourus,Siphonognathus tanyourus
Ostraciidae,Anoplocapros,amygdaloides,Anoplocapros amygdaloides
Ostraciidae,Aracana,aurita,Aracana aurita
Ostraciidae,Aracana,ornata,Aracana ornata
Ostraciidae,Aracana,sp,Aracana sp
Paguridae,PAGURIDAE,sp,PAGURIDAE sp
Palinuridae,Jasus,edwardsii,Jasus edwardsii
Parascylliidae,Parascyllium,ferrugineum,Parascyllium ferrugineum
Parascylliidae,Parascyllium,variolatum,Parascyllium variolatum
Pempherididae,Pempheris,klunzingeri,Pempheris klunzingeri
Pempherididae,Pempheris,multiradiata,Pempheris multiradiata
Pempherididae,Pempheris,sp,Pempheris sp
Pentacerotidae,Pentaceropsis,recurvirostris,Pentaceropsis recurvirostris
Phalacrocoracidae,Phalacrocorax,fuscescens,Phalacrocorax fuscescens
Pinguipedidae,Parapercis,haackei,Parapercis haackei
Pinguipedidae,Parapercis,ramsayi,Parapercis ramsayi
Platycephalidae,Platycephalus,sp,Platycephalus sp
Platycephalidae,Platycephalus,speculator,Platycephalus speculator
Plesiopidae,Paraplesiops,meleagris,Paraplesiops meleagris
Plesiopidae,Trachinops,noarlungae,Trachinops noarlungae
Pomacentridae,Parma,victoriae,Parma victoriae
Portunidae,Nectocarcinus,integrifrons,Nectocarcinus integrifrons
Rhinobatidae,Aptychotrema,vincentiana,Aptychotrema vincentiana
Rhinobatidae,Trygonorrhina,dumerilii,Trygonorrhina dumerilii
Scorpididae,Neatypus,obliquus,Neatypus obliquus
Scorpididae,Scorpis,aequipinnis,Scorpis aequipinnis
Scorpididae,Scorpis,georgiana,Scorpis georgiana
Scorpididae,Tilodon,sexfasciatus,Tilodon sexfasciatus
Scyliorhinidae,Asymbolus,sp,Asymbolus sp
Scyliorhinidae,Asymbolus,vincenti,Asymbolus vincenti
Sepiidae,Sepia,apama,Sepia apama
Serranidae,Caesioperca,rasor,Caesioperca rasor
Serranidae,Hypoplectrodes,nigroruber,Hypoplectrodes nigroruber
Serranidae,Othos,dentex,Othos dentex
Sillaginidae,NA,sp, sp
Sillaginidae,Sillaginodes,punctatus,Sillaginodes punctatus
Sillaginidae,Sillago,bassensis,Sillago bassensis
Sillaginidae,Sillago,sp,Sillago sp
Sparidae,Pagrus,auratus,Pagrus auratus
Sphyraenidae,Sphyraena,forsteri,Sphyraena forsteri
Sphyraenidae,Sphyraena,novaehollandiae,Sphyraena novaehollandiae
Syngnathidae,Hippocampus,sp,Hippocampus sp
Terapontidae,Pelates,octolineatus,Pelates octolineatus
Tetraodontidae,Omegophora,armilla,Omegophora armilla
Tetraodontidae,Omegophora,cyanopunctata,Omegophora cyanopunctata
Tetrarogidae,Tetrarogidae,sp,Tetrarogidae sp
Triakidae,Galeorhinus,galeus,Galeorhinus galeus
Triakidae,Mustelus,antarcticus,Mustelus antarcticus
Tripterygiidae,Helcogramma,decurrens,Helcogramma decurrens
Urolophidae,Urolophus,sp,Urolophus sp
