ID,OpCode,Site
1,ARCO01_1512,AldingaReefCentralOut
2,ARCO02_1512,AldingaReefCentralOut
3,ARCO03_1512,AldingaReefCentralOut
4,ARCO04_1512,AldingaReefCentralOut
5,ARNI01_1512,AldingaReefNorthIn
6,ARNI02_1512,AldingaReefNorthIn
7,ARNI03_1512,AldingaReefNorthIn
8,ARNI04_1512,AldingaReefNorthIn
9,ARNO01_1512,AldingaReefNorthOut
10,ARNO02_1512,AldingaReefNorthOut
11,ARNO03_1512,AldingaReefNorthOut
12,ARNO04_1512,AldingaReefNorthOut
13,ARSI01_1512,AldingaReefSouthIn
14,ARSI02_1512,AldingaReefSouthIn
15,ARSI03_1512,AldingaReefSouthIn
16,ARSI04_1512,AldingaReefSouthIn
17,ARCI01_1512,AldingaReefCentralIn
18,ARCI02_1512,AldingaReefCentralIn
19,ARCI03_1512,AldingaReefCentralIn
20,ARCI04_1512,AldingaReefCentralIn
21,ARSO02_1512,AldingaReefSouthOut
22,ARSO03_1512,AldingaReefSouthOut
23,ARSO04_1512,AldingaReefSouthOut
24,CHHO01_1511,Chinaman'sHatHaystackIsOut
25,CHHO02_1511,Chinaman'sHatHaystackIsOut
26,CHHO03_1511,Chinaman'sHatHaystackIsOut
27,CHHO04_1511,Chinaman'sHatHaystackIsOut
28,CHNI01_1511,Chinaman'sHatNorthIn
29,CHNI02_1511,Chinaman'sHatNorthIn
30,CHNI03_1511,Chinaman'sHatNorthIn
31,CHNI04_1511,Chinaman'sHatNorthIn
32,CHNO01_1511,Chinaman'sHatNorthOut
33,CHNO02_1511,Chinaman'sHatNorthOut
34,CHNO03_1511,Chinaman'sHatNorthOut
35,CHNO04_1511,Chinaman'sHatNorthOut
36,CHSI01_1511,Chinaman'sHatSouthIn
37,CHSI02_1511,Chinaman'sHatSouthIn
38,CHSI03_1511,Chinaman'sHatSouthIn
39,CHSI04_1511,Chinaman'sHatSouthIn
40,CHSO01_1511,Chinaman'sHatSouthOut
41,CHSO02_1511,Chinaman'sHatSouthOut
42,CHSO03_1511,Chinaman'sHatSouthOut
43,CHSO04_1511,Chinaman'sHatSouthOut
44,CSEI01_1511,Chinaman'sHatSealIsIn
45,CSEI02_1511,Chinaman'sHatSealIsIn
46,CSEI03_1511,Chinaman'sHatSealIsIn
47,CSEI04_1511,Chinaman'sHatSealIsIn
48,PINI01_1604,PagesIslandsNorthInside
49,PINI02_1604,PagesIslandsNorthInside
50,PINI03_1604,PagesIslandsNorthInside
51,PINI04_1604,PagesIslandsNorthInside
52,PIEI01_1604,PagesIslandsEastInside
53,PIEI02_1604,PagesIslandsEastInside
54,PIEI03_1604,PagesIslandsEastInside
55,PIEI04_1604,PagesIslandsEastInside
56,PIWI01_1604,PagesIslandsWestInside
57,PIWI02_1604,PagesIslandsWestInside
58,PIWI03_1604,PagesIslandsWestInside
59,PIWI04_1604,PagesIslandsWestInside
60,PINO01_1604,PagesIslandsNorthOutside
61,PINO02_1604,PagesIslandsNorthOutside
62,PINO03_1604,PagesIslandsNorthOutside
63,PINO04_1604,PagesIslandsNorthOutside
64,PIWO01_1604,PagesIslandsWestOutside
65,PIWO02_1604,PagesIslandsWestOutside
66,PIWO03_1604,PagesIslandsWestOutside
67,PIWO04_1604,PagesIslandsWestOutside
68,PIEO01_1604,PagesIslandsEastOutside
69,PIEO02_1604,PagesIslandsEastOutside
70,PIEO03_1604,PagesIslandsEastOutside
71,PIEO04_1604,PagesIslandsEastOutside
72,SGCI01_1601,SpongeGardensCentralIn
73,SGCI03_1601,SpongeGardensCentralIn
74,SGCI04_1601,SpongeGardensCentralIn
75,SGCO01_1601,SpongeGardensCentralOut
76,SGCO02_1601,SpongeGardensCentralOut
77,SGCO03_1601,SpongeGardensCentralOut
78,SGCO04_1601,SpongeGardensCentralOut
79,SGEI01_1601,SpongeGardensEastIn
80,SGEI02_1601,SpongeGardensEastIn
81,SGEI04_1601,SpongeGardensEastIn
82,SGEO01_1601,SpongeGardensEastOut
83,SGEO02_1601,SpongeGardensEastOut
84,SGEO03_1601,SpongeGardensEastOut
85,SGEO04_1601,SpongeGardensEastOut
86,SGWI01_1601,SpongeGardensWestIn
87,SGWI02_1601,SpongeGardensWestIn
88,SGWI03_1601,SpongeGardensWestIn
89,SGWI04_1601,SpongeGardensWestIn
90,SGWO01_1601,SpongeGardensWestOut
91,SGWO02_1601,SpongeGardensWestOut
92,SGWO03_1601,SpongeGardensWestOut
93,SGWO04_1601,SpongeGardensWestOut
94,CCNI01_1503,CapeduCouedicA
95,CCNI03_1503,CapeduCouedicA
96,CCNI04_1503,CapeduCouedicA
97,CCEI01_1503,CapeduCouedicB
98,CCEI02_1503,CapeduCouedicB
99,CCEI03_1503,CapeduCouedicB
100,CCCI01_1503,CapeduCouedicC
101,CCCI04_1503,CapeduCouedicC
102,CCSI01_1503,CapeduCouedicD
103,CCSI02_1503,CapeduCouedicD
104,CCSI03_1503,CapeduCouedicD
105,CCSI04_1503,CapeduCouedicD
106,ISDI01_1503,DogIsland
107,ISDI02_1503,DogIsland
108,ISDI03_1503,DogIsland
109,ISEO01_1503,EvansIsland
110,ISEO03_1503,EvansIsland
111,ISEO04_1503,EvansIsland
112,ISFI01_1503,FenelonIsland
113,ISFI02_1503,FenelonIsland
114,ISFI04_1503,FenelonIsland
115,ISRO01_1503,FranklinIslandsC
116,ISRO02_1503,FranklinIslandsC
117,ISRO03_1503,FranklinIslandsC
118,ISRO04_1503,FranklinIslandsC
119,ISFO01_1503,FreelingIsland
120,ISFO02_1503,FreelingIsland
121,ISLO01_1503,LaceyIsland
122,ISLO02_1503,LaceyIsland
123,ISLO03_1503,LaceyIsland
124,ISMI01_1503,MassilonIsland
125,ISMI02_1503,MassilonIsland
126,ISMI03_1503,MassilonIsland
127,ISMI04_1503,MassilonIsland
128,ISPI01_1503,PetrelCove-StFrancis
129,ISPI02_1503,PetrelCove-StFrancis
130,ISPI03_1503,PetrelCove-StFrancis
131,ISPI04_1503,PetrelCove-StFrancis
132,ISSI01_1503,StFrancisIsland
133,ISSI02_1503,StFrancisIsland
134,ISSI03_1503,StFrancisIsland
135,ISSI04_1503,StFrancisIsland
136,PESI01_1503,PearsonIslandSouthIn
137,PESI02_1503,PearsonIslandSouthIn
138,PESI03_1503,PearsonIslandSouthIn
139,PESI04_1503,PearsonIslandSouthIn
140,PENI01_1503,PearsonIslandNorthIn
141,PENI02_1503,PearsonIslandNorthIn
142,PENI03_1503,PearsonIslandNorthIn
143,PENI04_1503,PearsonIslandNorthIn
144,CACI01_1512,CarrickalingaCentralIn
145,CACI02_1512,CarrickalingaCentralIn
146,CACI03_1512,CarrickalingaCentralIn
147,CACI04_1512,CarrickalingaCentralIn
148,CANI01_1512,CarrickalingaNorthIn
149,CANI02_1512,CarrickalingaNorthIn
150,CANI03_1512,CarrickalingaNorthIn
151,CANI04_1512,CarrickalingaNorthIn
152,CASI01_1512,CarrickalingaSouthIn
153,CASI02_1512,CarrickalingaSouthIn
154,CASI03_1512,CarrickalingaSouthIn
155,CANO01_1512,CarrickalingaNorthOut
156,CANO02_1512,CarrickalingaNorthOut
157,CANO03_1512,CarrickalingaNorthOut
158,CANO04_1512,CarrickalingaNorthOut
159,CASO01_1512,CarrickalingaSouthOut
160,CASO02_1512,CarrickalingaSouthOut
161,CASO03_1512,CarrickalingaSouthOut
162,CASO04_1512,CarrickalingaSouthOut
163,RHCI01_1512,RapidHeadCentralIn
164,RHCI02_1512,RapidHeadCentralIn
165,RHCI03_1512,RapidHeadCentralIn
166,RHCI04_1512,RapidHeadCentralIn
167,RHNI01_1512,RapidHeadNorthIn
168,RHNI02_1512,RapidHeadNorthIn
169,RHNI03_1512,RapidHeadNorthIn
170,RHNI04_1512,RapidHeadNorthIn
171,RHSI01_1512,RapidHeadSouthIn
172,RHSI02_1512,RapidHeadSouthIn
173,RHSI03_1512,RapidHeadSouthIn
174,RHSI04_1512,RapidHeadSouthIn
175,RHCO01_1512,RapidHeadCentralOut
176,RHCO02_1512,RapidHeadCentralOut
177,RHCO03_1512,RapidHeadCentralOut
178,RHCO04_1512,RapidHeadCentralOut
179,RHNO01_1512,RapidHeadNorthOut
180,RHNO02_1512,RapidHeadNorthOut
181,RHNO03_1512,RapidHeadNorthOut
182,RHNO04_1512,RapidHeadNorthOut
183,RHSO01_1512,RapidHeadSouthOut
184,RHSO02_1512,RapidHeadSouthOut
185,RHSO03_1512,RapidHeadSouthOut
186,RHSO04_1512,RapidHeadSouthOut
187,BSCI01_1605,BayofShoalsCentralIn
188,BSCI02_1605,BayofShoalsCentralIn
189,BSCI03_1605,BayofShoalsCentralIn
190,BSCI04_1605,BayofShoalsCentralIn
191,BSEI01_1605,BayofShoalsEastIn
192,BSEI02_1605,BayofShoalsEastIn
193,BSEI03_1605,BayofShoalsEastIn
194,BSEI04_1605,BayofShoalsEastIn
195,BSWI01_1605,BayofShoalsWestIn
196,BSWI02_1605,BayofShoalsWestIn
197,BSWI03_1605,BayofShoalsWestIn
198,BSWI04_1605,BayofShoalsWestIn
199,BSCO01_1605,BayofShoalsCentralOut
200,BSCO02_1605,BayofShoalsCentralOut
201,BSCO03_1605,BayofShoalsCentralOut
202,BSCO04_1605,BayofShoalsCentralOut
203,BSEO01_1605,BayofShoalsEastOut
204,BSEO02_1605,BayofShoalsEastOut
205,BSEO03_1605,BayofShoalsEastOut
206,BSEO04_1605,BayofShoalsEastOut
207,BSWO01_1605,BayofShoalsWestOut
208,BSWO02_1605,BayofShoalsWestOut
209,BSWO03_1605,BayofShoalsWestOut
210,BSWO04_1605,BayofShoalsWestOut
211,WCCO01_1605,WesternCoveCentralOut
212,WCCO02_1605,WesternCoveCentralOut
213,WCCO03_1605,WesternCoveCentralOut
214,WCCO04_1605,WesternCoveCentralOut
215,WCNO01_1605,WesternCoveNorthOut
216,WCNO02_1605,WesternCoveNorthOut
217,WCNO03_1605,WesternCoveNorthOut
218,WCNO04_1605,WesternCoveNorthOut
219,WCSO01_1605,WesternCoveSouthOut
220,WCSO02_1605,WesternCoveSouthOut
221,WCSO03_1605,WesternCoveSouthOut
