time,Year,SiteName,n,nCheck,modMedian,modMean,modci90lo,modci90up
-11,2005,Carrickalinga Head,4000,4000,5.915776578538402,5.902787257702088,4.188502250745087,7.57003254819627
-11,2005,Carrickalinga South Bay,4000,4000,5.622039598606678,5.626582788046737,3.9465001348661195,7.270029279058472
-11,2005,Dodd's Beach,4000,4000,5.618998586144993,5.618282627307761,3.9314037996505995,7.333119135877743
-11,2005,Flat Irons,4000,4000,6.22161243702976,6.218676625601817,4.554019901640395,7.892645510828817
-11,2005,Newland Head,4000,4000,6.329164710474604,6.3312413507619105,4.673201942849358,8.050224712329692
-11,2005,Outside Granite Island,4000,4000,5.6156701560041284,5.626191536421926,4.01186739006672,7.308081678428058
-11,2005,Rapid Head Windmill,4000,4000,5.360528839608159,5.363010894817695,3.725288724254729,7.028881897849551
-11,2005,Ripple Rock,4000,4000,7.27279838231789,7.281904240503362,4.633227787333847,9.882549308452962
-11,2005,Shag Rock Carrickalinga,4000,4000,0.17742660953002812,0.15344291962148304,-6.397387925451457,6.656776019846925
-11,2005,The Bluff,4000,4000,4.817164737748049,4.816989846709958,3.1073899148679933,6.539574637600174
-11,2005,West Island Outer,4000,4000,5.859103889118733,5.870116627593528,4.140152679900223,7.5752386360097574
-10,2006,Carrickalinga Head,4000,4000,5.902159696891637,5.894282201080611,4.21532205099369,7.55494952828999
-10,2006,Carrickalinga South Bay,4000,4000,5.697164778636784,5.704501698291883,4.0185694919910855,7.371614803888595
-10,2006,Dodd's Beach,4000,4000,5.60861824700306,5.640907081350185,4.065113348559083,7.3234335862577415
-10,2006,Outside Granite Island,4000,4000,5.668940676218893,5.660640651691748,3.994561253884862,7.323041434067503
-10,2006,Rapid Head Windmill,4000,4000,5.362640946649639,5.37477508953963,3.6319748541451484,7.093199645862578
-10,2006,Ripple Rock,4000,4000,7.137446708882117,7.180303516754707,4.764421627923209,9.737830208745134
-10,2006,Shag Rock Carrickalinga,4000,4000,0.718135480635391,0.733173590975502,-5.182199556813698,6.670180548049011
-10,2006,The Bluff,4000,4000,4.895870078504039,4.9043058204862024,3.2087264601933843,6.6023474862619
-9,2007,Carrickalinga Head,4000,4000,5.936456626227486,5.923150782616772,4.29800741424157,7.566316748850861
-9,2007,Carrickalinga South Bay,4000,4000,5.742069450892473,5.750547676652206,4.136989218013131,7.410091205926306
-9,2007,Dodd's Beach,4000,4000,5.687071715447219,5.684470900193614,3.979943750812542,7.374126712268054
-9,2007,Fishery Beach,4000,4000,5.75253710367469,5.746941807864705,4.060869617277886,7.435743393768044
-9,2007,Flat Irons,4000,4000,6.208435641167579,6.233390815993236,4.537275109564211,7.943533642401928
-9,2007,Newland Head,4000,4000,6.395589507365638,6.39280664847749,4.667383693481013,8.064021935456639
-9,2007,Outside Granite Island,4000,4000,5.71384407683094,5.732435568342246,4.053922053741091,7.4331189740866455
-9,2007,Porpoise Head,4000,4000,6.681422170948547,6.657384311839384,4.945743202648405,8.312147786128797
-9,2007,Rapid Head Windmill,4000,4000,5.464531192235588,5.468965362552545,3.750067621692424,7.168691785988496
-9,2007,Ripple Rock,4000,4000,7.1864228343734435,7.174836742741963,4.791869061591163,9.544568064103874
-9,2007,Shag Rock Carrickalinga,4000,4000,1.2278743337086118,1.254911363332969,-4.229936484988948,6.667466595092833
-9,2007,The Bluff,4000,4000,4.965175163721698,4.977251285930192,3.2456185117969696,6.698994423504764
-9,2007,West Island Outer,4000,4000,5.953022263376667,5.953895187247707,4.253269923920476,7.675334599830282
-9,2007,Whalebone,4000,4000,8.089598808409317,8.118458477016658,-10.446855496105215,26.78006144244925
-8,2008,Carrickalinga South Bay,4000,4000,5.819722008942723,5.795416741709819,4.106943474074837,7.4582095187466715
-8,2008,Rapid Bay Jetty,4000,4000,6.459278095082263,6.4593711083672,4.734321070063621,8.191108272699152
-5,2011,Rapid Bay Jetty,4000,4000,6.404897674061369,6.427709088006813,4.7407888921074886,8.16365180214028
-5,2011,Rapid Head East,4000,4000,5.687697743865842,5.677806649767239,3.963369884461547,7.324723484128642
-5,2011,Shag Rock Carrickalinga,4000,4000,3.614208585278217,3.5427233131782963,0.25787312300311327,6.826315102535988
-4,2012,Carrickalinga Head,4000,4000,5.9505084697189705,5.957234678711784,4.25638714603765,7.6269689312591336
-4,2012,Carrickalinga South Bay,4000,4000,6.0168280906644185,6.003125345785362,4.295279829252977,7.7033651524309565
-4,2012,Dodd's Beach,4000,4000,5.805691818471903,5.81390196345634,4.142654922876266,7.475068942741254
-4,2012,Flat Irons,4000,4000,6.272417295938951,6.283066708192844,4.623112583793896,7.974579465481658
-4,2012,Normanville Beach,4000,4000,5.024010889418179,5.036005386202059,3.3254537541293696,6.73092755139464
-4,2012,Rapid Bay Jetty,4000,4000,6.475330801471072,6.4635423268526235,4.771766623491627,8.162792488772611
-4,2012,Rapid Head East,4000,4000,5.66365082639874,5.64957136724211,3.9481308461850295,7.322957411115246
-4,2012,Rapid Head Windmill,4000,4000,5.686509480661153,5.7092935717105,4.052957983476814,7.388433921408462
-4,2012,Shag Rock Carrickalinga,4000,4000,4.103692336268816,4.103872538355229,1.253336708146258,6.907247239814489
-4,2012,Whalebone,4000,4000,7.182612669470746,7.155870133135333,-1.1967885398008378,15.546806687958094
-3,2013,Carrickalinga North3,4000,4000,5.450309963305144,5.458396098997386,3.737590691963772,7.194282465671918
-3,2013,Carrickalinga South Bay,4000,4000,6.02506389461921,5.99783518037639,4.295250400913105,7.674424863279865
-3,2013,Normanville Beach,4000,4000,4.9730854050577324,4.9742655500383925,3.30382783336908,6.668514007307316
-3,2013,Olivers Reef,4000,4000,6.014435265182021,5.9847601294735515,4.288853930998154,7.6178595379736365
-3,2013,Rapid Head East,4000,4000,5.678637836855757,5.690926585354806,4.003167188945752,7.355884892350948
-3,2013,The Bluff,4000,4000,5.408748436515694,5.394237009632201,3.7112584297961657,7.043373457070543
-3,2013,Whalebone,4000,4000,6.981747504062694,6.948403620757494,0.5615835345246296,13.30132545521627
-2,2014,Carrickalinga South Bay,4000,4000,6.072226488967807,6.066439038956997,4.423545781088837,7.699544316114519
-2,2014,Rapid Bay Jetty,4000,4000,6.416160177183717,6.408423374333368,4.725876165313961,8.085946976896155
-2,2014,Rapid Head East,4000,4000,5.754244807510554,5.732599900450048,4.0518568289204175,7.3602901646699355
-2,2014,Shag Rock Carrickalinga,4000,4000,5.1995456535323,5.233087613195574,3.2453797668125555,7.302011313909713
-1,2015,Broken Bottom,4000,4000,5.060804035685884,5.062976353974765,3.297507643570672,6.836873641297793
-1,2015,Horseshoe Inside,4000,4000,6.168981589320602,6.180357040721532,4.51083169453853,7.870671719826669
-1,2015,Seacliff Reef,4000,4000,5.671912750533012,5.685066989925377,3.699909376104524,7.643153065481923
-1,2015,Southport,4000,4000,5.548916674282166,5.558730789685336,3.9020026910803307,7.248166790309406
0,2016,Broken Bottom,4000,4000,5.400712151181455,5.390559311776388,3.6877591292080836,7.090752715787604
0,2016,Carrickalinga North3,4000,4000,5.492514997643491,5.493731582021196,3.8186322852366654,7.1166083021499444
0,2016,Carrickalinga South Bay,4000,4000,6.153393303251482,6.163419898667301,4.520407065648121,7.804058821632779
0,2016,Dodd's Beach,4000,4000,5.8586590359398905,5.858526882000674,4.16707028899932,7.4713294678058935
0,2016,Horseshoe Inside,4000,4000,6.129345742118614,6.132991075708868,4.499587992355038,7.84018873745521
0,2016,Moana Outside,4000,4000,6.68151617886047,6.694120245152087,4.956919147787095,8.3931216786392
0,2016,Noarlunga North Outside,4000,4000,6.638487501041311,6.6507181625434875,5.000366028577977,8.310787996167873
0,2016,Parham Reef,4000,4000,5.029665302889983,5.045413664813375,3.3365612746605393,6.793379079079699
0,2016,Rapid Head East,4000,4000,5.74966536113635,5.762297836595966,4.1412949633253815,7.447081639433337
0,2016,Ripple Rock,4000,4000,6.528796136638492,6.52118023003706,4.814238366763875,8.183750697327397
0,2016,Seacliff Reef,4000,4000,6.512058737692188,6.510643847237848,4.848095063165142,8.144538832479956
0,2016,Semaphore Reef,4000,4000,4.441884691675638,4.435669289581705,2.405595564341354,6.459227689068619
0,2016,Shag Rock Carrickalinga,4000,4000,6.365601051813163,6.389835910927878,4.766755168403251,8.072770104878948
0,2016,Southport,4000,4000,5.552207736962048,5.568223032119407,3.808779566850599,7.292970618552215
1,2017,Aldinga Pinnacles,4000,4000,6.373571917794008,6.385488306859411,4.768947144826471,8.088752988763808
1,2017,Backstairs Deep,4000,4000,6.412686997368379,6.411206771047468,4.715671491225422,8.087872406179327
1,2017,Basham's Beach,4000,4000,5.76133666306213,5.77994330102399,3.8877331939451603,7.733745232324276
1,2017,Broken Bottom,4000,4000,5.758652917011271,5.7572227947618515,4.111552119447479,7.462262142609148
1,2017,Cape Jervis South,4000,4000,5.501159561358335,5.507905586846805,3.825871468544255,7.1837086511739345
1,2017,Carrickalinga Head,4000,4000,6.009016984359803,6.002021756905769,4.335514096823663,7.669477397980055
1,2017,Carrickalinga North3,4000,4000,5.482012042155171,5.48371938507732,3.849406260139254,7.106149931363553
1,2017,Carrickalinga South Bay,4000,4000,6.19195093834956,6.194700739354892,4.536856035168753,7.883895302788647
1,2017,Chiton Rocks,4000,4000,5.305075139261243,5.286259628820991,3.502432753468541,7.056649517834541
1,2017,Deep Creek,4000,4000,6.589118736721673,6.588015947948849,4.847642478262245,8.308401935083975
1,2017,Dodd's Beach,4000,4000,5.899122682908544,5.903576816021121,4.2675479588741,7.605523611762212
1,2017,Encounter Deep,4000,4000,6.475152657171344,6.478954803390229,4.6283029411286405,8.32669464371726
1,2017,Fishery Beach,4000,4000,6.273191237660323,6.27188871338164,4.602190680562842,8.038546377704623
1,2017,Flat Irons,4000,4000,6.258165705464559,6.267712518403665,4.61981281352373,7.9638007321861934
1,2017,Horseshoe Inside,4000,4000,6.110071167080738,6.112283899983153,4.446193438253316,7.779736557454559
1,2017,Lady Bay,4000,4000,4.936642514413359,4.938028989217783,3.2472153685055196,6.66220300557112
1,2017,Moana Outside,4000,4000,6.45286112167458,6.479150044316382,4.804511906365976,8.1867227554402
1,2017,Myponga Reef,4000,4000,5.442318911421003,5.415380899374068,3.6515313799964755,7.1056881196944515
1,2017,Newland Head,4000,4000,6.663956759712423,6.660997163563646,4.960802143789946,8.348747783085724
1,2017,Noarlunga North Outside,4000,4000,6.568475043793143,6.578650804165151,4.930127959558773,8.258488126110953
1,2017,Noarlunga South Outside,4000,4000,6.50632184672337,6.519172642437107,4.838677441519074,8.202013916291477
1,2017,Normanville Beach,4000,4000,4.75114325129286,4.738776929970362,2.991146181164989,6.45754853953199
1,2017,Olivers Reef,4000,4000,6.015735742896672,6.007959797197621,4.306598654223939,7.735945853856375
1,2017,Outside Granite Island,4000,4000,6.225587810930256,6.230172044901008,4.563961130221847,7.968184528084448
1,2017,Parham Reef,4000,4000,4.402299584537998,4.403441570888936,2.6629799103294007,6.165598779040158
1,2017,Porpoise Head,4000,4000,6.8064364161814765,6.802856860784599,5.212878414269704,8.3824601576469
1,2017,Port Gawler,4000,4000,5.614740574392747,5.621980352822753,3.4758724952761626,7.7673501354332934
1,2017,Rapid Bay Jetty,4000,4000,6.3859079173433395,6.377320347964515,4.711026298317436,8.007955378551003
1,2017,Rapid Head East,4000,4000,5.756837337653041,5.767531342249767,4.087409945206601,7.437666075400644
1,2017,Rapid Head Windmill,4000,4000,5.998787646003013,5.986009540132047,4.324263713734998,7.679657844306274
1,2017,Ripple Rock,4000,4000,6.4433126044981535,6.466763277408092,4.777615185530142,8.16158755135548
1,2017,Seacliff Reef,4000,4000,7.310885092354252,7.3268447933934695,5.322034563877646,9.351288112344474
1,2017,Semaphore Reef,4000,4000,4.423461295562333,4.439428366113082,2.3976760780943396,6.497128972247262
1,2017,Shag Rock Carrickalinga,4000,4000,6.922043213886504,6.932730500875953,5.251540422656957,8.69590591067465
1,2017,South Shores,4000,4000,4.472839732285772,4.480528403770359,2.627560247216495,6.381664657517998
1,2017,Southport,4000,4000,5.617374754557536,5.614610255699074,3.8996156876065466,7.287402550310996
1,2017,The Bluff,4000,4000,5.674030736411364,5.662031543348534,4.028791856198946,7.322552379527049
1,2017,West Island Outer,4000,4000,6.485625632532615,6.493785043688315,4.83098571838656,8.153983920674522
1,2017,Whalebone,4000,4000,6.171230270864731,6.142678507068471,3.49593199136523,8.77903510939846
1,2017,Yankalilla Mouth,4000,4000,4.987519903920923,4.973257131813728,1.3447471613296618,8.630268309457145
2,2018,Aldinga Pinnacles,4000,4000,6.429836586593938,6.426566581546734,4.7389635641181345,8.115615420174528
2,2018,Backstairs Deep,4000,4000,6.563266564666257,6.557941786005404,4.8272802921736,8.29434823856548
2,2018,Basham's Beach,4000,4000,7.37634012300317,7.413485558735066,5.171752481036289,9.704166617391856
2,2018,Broken Bottom,4000,4000,6.078131192115969,6.070647931998053,4.344399307702345,7.825062823677154
2,2018,Cape Jervis South,4000,4000,5.56742198286406,5.5607412811679495,3.809649678958742,7.295769516593412
2,2018,Carrickalinga Head,4000,4000,6.01663828222978,6.0003432190836925,4.281583840401948,7.661101918487477
2,2018,Carrickalinga North3,4000,4000,5.524974500157907,5.532566214398574,3.8331805251007127,7.235630287753093
2,2018,Carrickalinga South Bay,4000,4000,6.260900165441107,6.2457628501280125,4.592730046016218,7.8874594356640655
2,2018,Chiton Rocks,4000,4000,5.029613730684675,5.027418079286828,3.349934401325528,6.733873818067413
2,2018,Deep Creek,4000,4000,6.195111169618096,6.2177849548041895,4.514641252393771,7.97505999429141
2,2018,Dodd's Beach,4000,4000,5.898100047602859,5.91172467939693,4.257529039493643,7.6018887436036575
2,2018,Encounter Deep,4000,4000,5.7478120539359425,5.74523104557549,4.032482126951561,7.425572381112619
2,2018,Fishery Beach,4000,4000,6.302354735556902,6.3135496777499815,4.614967972624654,8.030472864090756
2,2018,Flat Irons,4000,4000,6.2956278339069645,6.310787684337823,4.602288928036185,8.010608724565806
2,2018,Horseshoe Inside,4000,4000,6.072510291566584,6.069648860008802,4.347617899538588,7.747672619858502
2,2018,Lady Bay,4000,4000,5.137578514427741,5.15230738297472,3.447616626617883,6.854703139728061
2,2018,Moana Outside,4000,4000,6.289030072754641,6.304418187343708,4.697427780732303,8.000616008739028
2,2018,Myponga Reef,4000,4000,5.750452425560608,5.746548938589307,4.0128095138385005,7.44573978613462
2,2018,Newland Head,4000,4000,6.7061259635787405,6.699216548014141,5.070101504359147,8.378452126674668
2,2018,Noarlunga North Outside,4000,4000,6.485038033652296,6.487033664479438,4.796154613367102,8.098900106728717
2,2018,Noarlunga South Outside,4000,4000,6.718454709385886,6.723387260862102,5.063930952612797,8.431117405253975
2,2018,Normanville Beach,4000,4000,4.673131632221706,4.675002368855387,2.8770736648578485,6.503464523239614
2,2018,Olivers Reef,4000,4000,5.999176449078441,5.992741854559177,4.300410524841054,7.695465313196087
2,2018,Outside Granite Island,4000,4000,6.277559251701687,6.277470849599162,4.569445979011174,8.038086639647073
2,2018,Parham Reef,4000,4000,3.7696289444897024,3.790924259237487,1.9014239157153754,5.7118316546968435
2,2018,Porpoise Head,4000,4000,6.81307287471672,6.811647161003146,5.121206988775843,8.515068086272853
2,2018,Port Elliot Deep,4000,4000,6.323469237883321,6.323762678678212,3.830951731490584,8.87466019228944
2,2018,Port Gawler,4000,4000,5.678564547378006,5.681606037062642,3.4646636033395493,7.864753340485029
2,2018,Rapid Bay Jetty,4000,4000,6.410204666714345,6.399063071224916,4.7486116451140346,8.04444180780471
2,2018,Rapid Head East,4000,4000,5.794326709202309,5.780862337471335,4.103724882574388,7.468843148700804
2,2018,Rapid Head Windmill,4000,4000,6.03483044589357,6.041457073964904,4.410397158094506,7.7316923259338
2,2018,Ripple Rock,4000,4000,6.397056902884049,6.426291361511711,4.737635943956759,8.16649250892903
2,2018,Seacliff Reef,4000,4000,8.109444785905383,8.120059313465976,5.402354611779968,10.824939118928175
2,2018,Semaphore Reef,4000,4000,4.484828124102558,4.4618314977515166,2.4077384226389813,6.460673741842842
2,2018,Shag Rock Carrickalinga,4000,4000,7.514002914721138,7.497824287788851,5.435583276689886,9.518796106642288
2,2018,South Shores,4000,4000,4.246927826603072,4.240412425898191,2.2261060044130323,6.253361017571295
2,2018,Southport,4000,4000,5.634582762633865,5.656639996828026,3.992138743907366,7.395083350509031
2,2018,The Bluff,4000,4000,5.742726801054421,5.733642684972495,4.019467070757809,7.41024963412061
2,2018,West Island Outer,4000,4000,6.537916259321454,6.559432993933955,4.904383297999368,8.24544897866242
2,2018,Whalebone,4000,4000,5.942295241285045,5.939409213415229,1.5339404891649806,10.299763540302376
2,2018,Yankalilla Mouth,4000,4000,4.261792285646262,4.266184091125127,0.38843003477928384,8.081551138994358
